country,continent,country_id,continent_id
美国,北美洲,us,north-america
加拿大,北美洲,canada,north-america
澳大利亚,大洋洲,australia,oceania
英国,欧洲,uk,europe
德国,欧洲,germany,europe
法国,欧洲,france,europe
香港,亚洲,hongkong,asia
中国,亚洲,china,asia
日本,亚洲,japan,asia
泰国,亚洲,thailand,asia
新西兰,大洋洲,newzealand,oceania
韩国,亚洲,korea,asia
西班牙,欧洲,spain,europe
比利时,欧洲,belgium,europe
意大利,欧洲,italy,europe
新加坡,亚洲,singapore,asia
台湾,亚洲,taiwan,asia
墨西哥,北美洲,mexico,north-america
罗马尼亚,欧洲,romania,europe
印度,亚洲,india,asia
丹麦,欧洲,denmark,europe
瑞典,欧洲,sweden,europe
突尼斯,非洲,tunis,africa
芬兰,欧洲,finland,europe
葡萄牙,欧洲,portugal,europe
马来西亚,亚洲,malaysia,asia
哥伦比亚,南美洲,columbia,south-america
捷克,欧洲,czech,europe
挪威,欧洲,norway,europe
菲律宾,亚洲,phillippines,asia
